	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986616713348288512	banco do brasil	2018-04-18 14:45:29	yas	"RT @ApaquePE: É tempo de solidariedade. Vamos ajudar nossos irmãos de Bodocó, que sofreu com as fortes chuvas. 

Doações para os desabrigad…"	15	0		634	227
986615891801595905	banco do brasil	2018-04-18 14:42:13	BS	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		327	344
986615572665380864	banco do brasil	2018-04-18 14:40:57	Caju 2.5	Desse jeito metade do Brasil merece ganhar R$ 1,5 mi por passar fome, por ter pai assassinado por ter família humilde, por começar a trabalhar cedo, por não usar isso de moleta pra subir na vida, se fosse assim eu ja teria uns R$ 17 mi no banco pelos meus cálculos https://t.co/Df9QSqmVAH	0	1		968	620
986615380973060096	banco do brasil	2018-04-18 14:40:11	um dois três da Silva quatro	"RT @ApaquePE: É tempo de solidariedade. Vamos ajudar nossos irmãos de Bodocó, que sofreu com as fortes chuvas. 

Doações para os desabrigad…"	15	0		144	236
986614741006209024	banco do brasil	2018-04-18 14:37:39	Vinicius Rocha ??	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	31	0		535	204
986614506523635713	banco do brasil	2018-04-18 14:36:43	Mariangelica Herdy	Organizações da sociedade civil podem enviar propostas para o edital da Fundação Banco do Brasil de título Recupera Cerrado. O objetivo deste edital é a seleção e o apoio a projetos voltados para a recomposição da vegetação nativa em... https://t.co/G2TnLEujuS	0	0		212	355
986613711887585280	banco do brasil	2018-04-18 14:33:33	Carinho nas POCs	"RT @ApaquePE: É tempo de solidariedade. Vamos ajudar nossos irmãos de Bodocó, que sofreu com as fortes chuvas. 

Doações para os desabrigad…"	15	0		375	802
986612903687147520	banco do brasil	2018-04-18 14:30:21	Luis Henrique Diniz	RT @F_Derezende: Os quatro maiores bancos do mercado brasileiro - Itaú Unibanco, Bradesco, Banco do Brasil (BB) e Caixa - respondiam por 78…	7	0		266	2645
986612278010269696	banco do brasil	2018-04-18 14:27:52	Roger	O SP não é banco, infelizmente a realidade do Brasil é que bons jogadores estão inflacionados. Se vc ler uma matéria q circula sobre as finanças do SP, verá que a dívida caiu pela metade.... https://t.co/2CDkivTtlr	0	2		2121	1990
986611875600199680	banco do brasil	2018-04-18 14:26:16	Blue K-Store	Aceitamos cartão de crédito, depósito na Caixa Econômica Federal, depósito/transferência no Banco do Brasil.	0	0		843	181
986611843585241090	banco do brasil	2018-04-18 14:26:08	Felipe Pinheiro	"RT @ApaquePE: É tempo de solidariedade. Vamos ajudar nossos irmãos de Bodocó, que sofreu com as fortes chuvas. 

Doações para os desabrigad…"	15	0		364	314
986611125453238272	banco do brasil	2018-04-18 14:23:17	Douglas Martins	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	31	0		600	374
986610940375437312	banco do brasil	2018-04-18 14:22:33	matheuz ????	Botando cachecol pra ir ao banco do brasil	0	1		106	126
986610655657709569	banco do brasil	2018-04-18 14:21:25	RodrigoHilbert	to tão puto com o banco do Brasil que minha Vontade é encerrar conta nessa Bosta	0	0		56	66
986610594664079366	banco do brasil	2018-04-18 14:21:10	Felipe Rezende	"Os quatro maiores bancos do mercado brasileiro - Itaú Unibanco, Bradesco, Banco do Brasil (BB) e Caixa - respondiam por 78,51% das operações de crédito no fim de 2017.

Há 10 anos, esse índice correspondia a 54,68%.
 https://t.co/ywv2QZBEhT"	7	25		1502	218
986610562489573376	banco do brasil	2018-04-18 14:21:03	Apaque PE	"É tempo de solidariedade. Vamos ajudar nossos irmãos de Bodocó, que sofreu com as fortes chuvas. 

Doações para os desabrigados:

PARÓQUIA SÃO JOSÉ

AG 0899-0
CC 8113-3
BANCO DO BRASIL

#SejaSolidário #Bodocó"	15	24		1707	1
986609513271881728	banco do brasil	2018-04-18 14:16:52	Cholo_ ?	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	31	0		256	1781
986609238050004992	banco do brasil	2018-04-18 14:15:47	tai ?	nem o itau com a caralhada de taxa que eles cismam em debitar da tua conta é tao lixo quanto a caixa e o banco do brasil	0	0		259	829
986608999486324736	banco do brasil	2018-04-18 14:14:50	tai ?	nao existem bancos piores do que a caixa e o banco do brasil	0	0		259	829
986608908868444162	banco do brasil	2018-04-18 14:14:28	louren	@italopuccs melhor q o Itaú e Banco do Brasil sim	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='52ec9754e3206a63', url='https://api.twitter.com/1.1/geo/id/52ec9754e3206a63.json', place_type='city', name='Porto Seguro', full_name='Porto Seguro, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-39.5762342, -16.953571], [-39.006082, -16.953571], [-39.006082, -16.342918], [-39.5762342, -16.342918]]]), attributes={})	683	225
986608012939931648	banco do brasil	2018-04-18 14:10:55	Bem Garota	Morrendo de fome, o Banco do Brasil empacando a vida... olha uma merda de banco	0	1	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='fdee2106fac9b386', url='https://api.twitter.com/1.1/geo/id/fdee2106fac9b386.json', place_type='city', name='Bragança Paulista', full_name='Bragança Paulista, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-46.7191873, -23.051562], [-46.4050046, -23.051562], [-46.4050046, -22.821301], [-46.7191873, -22.821301]]]), attributes={})	4833	1675
986607713110167552	banco do brasil	2018-04-18 14:09:43	Lolita	RT @robe_sampaio: Conta poupança, Banco do Brasil, 14.225-5, agência 1834-1, Luciana Almeida Sampaio	93	0		1160	1232
986607283412008960	banco do brasil	2018-04-18 14:08:01	Anônimo	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		15	159
986606777754992640	banco do brasil	2018-04-18 14:06:00	Me Informa DF	"RT @CEBDistribuicao: Santa Maria receberá manutenção programada nesta quinta (19)
Horário: 08h40 às 16h30
Local – Fazenda Santa Prisca (DF-…"	1	0		177	4
986606776446476288	banco do brasil	2018-04-18 14:06:00	CEB Distribuição	"Santa Maria receberá manutenção programada nesta quinta (19)
Horário: 08h40 às 16h30
Local – Fazenda Santa Prisca (DF-140): Associação Atlética Banco do Brasil, Sede da Fazenda Santa Prisca e Rancho Julintias. Para saber a lista completa acesse:https://t.co/UPhuZRcM85 …"	1	1		2613	89
986606081433653249	banco do brasil	2018-04-18 14:03:14	Slifer Sensei	Gostei de um vídeo @YouTube https://t.co/IanwIdQGHk MAIOR ASSALTO A BANCO DO BRASIL !!	0	0		3	10
986605779250794498	banco do brasil	2018-04-18 14:02:02	Paulo Ivan Ávila ??	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	31	0		594	600
