	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
26171	986754612278497280	itau	2018-04-18 23:53:27	Vagas Empregos PR	Vagas p/ AGENTE COMERCIAL - Itaú Unibanco - Curitiba/PR - https://t.co/UEwdkdCmvr	0.0	0.0		9331.0	40.0	itau		0
26172	986754559023427584	itau	2018-04-18 23:53:14	Jorge Beust	@silva_marina @EduardoJorge43 Juntando os ressentidos ex petistas, misturando com tucanos, banco Itaú, ONGs internacionais. Volta pro seringal e defenda a floresta, lá tu pode ser útil. Ah, sim, por que teu partido não entrou na Frente Ampla?	0.0	0.0		105.0	132.0	itau	silva_marina eduardojorge43	2
26173	986754328852656128	itau	2018-04-18 23:52:19	manu real oficial	@itau Foi uma transferência, no dia 03/04	0.0	0.0		293.0	169.0	itau	itau	1
26179	986753457456631809	itau	2018-04-18 23:48:51	paola?	"RT @djricardorocha_: dia 26 de maio o pau de quebra da melhor forma!!!! 

?: Open bar (+drinks a venda) 

?: 0800 a festa toda 

?: $20,00…"	9.0	0.0		2844.0	1055.0	itau	djricardorocha	1
26181	986753165616992264	itau	2018-04-18 23:47:42	Comuna da Barra Funda	@PQPhigor @itau Ruindade de caralho.	0.0	0.0		474.0	255.0	itau	pqphigor itau	2
26182	986753035136389120	itau	2018-04-18 23:47:11	Maria julia	Vou me cadastrar pra pegar uma bike do Itaú, da central a 13 de maio é chão	0.0	1.0		719.0	123.0	itau		0
26185	986752645275766785	itau	2018-04-18 23:45:38	Comuna da Barra Funda	@PQPhigor Toda semana meu amor! Só queria a quina que eu já pagava o @itau  né Itaú com seus juros abusivos? Custava perdoar umas parcelas? Que ruindade!	0.0	0.0		474.0	255.0	itau	pqphigor itau	2
26189	986751686956986368	itau	2018-04-18 23:41:49	MatheusRabelo	RT @matfranceschi: @itau a luz, mas to sem grana	7.0	0.0		1717.0	669.0	itau	matfranceschi: itau	2
26192	986751650328203265	itau	2018-04-18 23:41:41	MatheusRabelo	RT @matfranceschi: @itau Não consigo efetuar o pagamento em uma de suas agências de forma alguma!!!	6.0	0.0		1717.0	669.0	itau	matfranceschi: itau	2
26194	986751408769785857	itau	2018-04-18 23:40:43	tami?	Ganhei dois mimos do Itaú no trabalho. To me sentindo uma blogueirinha	0.0	1.0		1379.0	451.0	itau		0
26195	986751288485535745	itau	2018-04-18 23:40:14	Guilherme Battaglin	@itau não to conseguindo adicionar meu cartão ao Apple Pay. Pede pra entrar em contato com a operadora. Pode ajudar?	0.0	0.0		150.0	225.0	itau	itau	1
26198	986751203051786241	itau	2018-04-18 23:39:54	Luanna Lisboa	@itau Descontou um seguro que eu não contratei	0.0	0.0		2052.0	529.0	itau	itau	1
26199	986750985044398080	itau	2018-04-18 23:39:02	Insta: Matfranceschi	Oi @itau , alguma informação sobre o passeio?	0.0	1.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='870609f609c207e4', url='https://api.twitter.com/1.1/geo/id/870609f609c207e4.json', place_type='city', name='Araruama', full_name='Araruama, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-42.448794, -22.938818], [-42.132671, -22.938818], [-42.132671, -22.551041], [-42.448794, -22.551041]]]), attributes={})	2433.0	803.0	itau	itau	1
26200	986750903981092866	itau	2018-04-18 23:38:43	MatheusRabelo	RT @matfranceschi: @itau valeu então mano, tmj	1.0	0.0		1717.0	669.0	itau	matfranceschi: itau	2
26201	986750856153444353	itau	2018-04-18 23:38:31	MatheusRabelo	RT @matfranceschi: @itau conta corrente	1.0	0.0		1717.0	669.0	itau	matfranceschi: itau	2
26202	986750838390640640	itau	2018-04-18 23:38:27	MatheusRabelo	RT @matfranceschi: @itau estou em duvida onde abrir minha conta, vocês são melhores que o @santander_br ?	1.0	0.0		1717.0	669.0	itau	matfranceschi: itau santander_br	3
26203	986750835932778497	itau	2018-04-18 23:38:26	samuel que caiu do céu ?	gente, vocês viram o vídeo da cobra no Itaú de Manaus? eu tô tipo horrorizado, vi a hora que acordei e só pensei nisso no caminho do trabalho	0.0	0.0		374.0	585.0	itau		0
26204	986750820904521729	itau	2018-04-18 23:38:23	MatheusRabelo	RT @matfranceschi: @itau Tenho uma reclamação a fazer	1.0	0.0		1717.0	669.0	itau	matfranceschi: itau	2
26205	986750585075650561	itau	2018-04-18 23:37:27	Fernanda	"@itau aprova meu cartão de credito pelo amor do céus

EU PRECISO VIAJAR E COMPRAR MEU CELULAAAAAAAAR"	0.0	0.0		275.0	420.0	itau	itau	1
26206	986749597728026625	itau	2018-04-18 23:33:31	Vagas Empregos PR	Vagas p/ AGENTE COMERCIAL - Itaú Unibanco - São José dos Pinhais/PR - https://t.co/TarWXRGxpg	0.0	0.0		9331.0	40.0	itau		0
26210	986747987933220864	itau	2018-04-18 23:27:07	marlasTattu	@itau conta corrente	0.0	0.0		2956.0	906.0	itau	itau	1
26218	986747133322846208	itau	2018-04-18 23:23:44	Indica GP 4k!	"RT @NicoleFragosoo: Rifa da Nick 
Participe você também. ?

1 nome 50

Prêmio 1h30 comigo com local por minha conta ?

Pagamento por itau o…"	35.0	0.0		4356.0	2848.0	itau	nicolefragosoo	1
26220	986746673832611840	itau	2018-04-18 23:21:54	Just let me looooove yooooou ??	Vi o Leandro Almeida do pro enem na minha agência Itaú e não fiz NADAAAAAA QUE CO	0.0	0.0		2526.0	2960.0	itau		0
26223	986746180993511425	itau	2018-04-18 23:19:57	ka-leo	random mas em qual banco voce tem conta? — Itau https://t.co/pSBItDP9uj	0.0	0.0		712.0	306.0	itau		0
26229	986745486991413248	itau	2018-04-18 23:17:11	blacq	Itaú Asset hires Camara to lead portfolio solutions: source SAO PAULO (Reuters) - https://t.co/Jmgh0oUZ2X #personalfinance @silewconsulting	0.0	0.0		94374.0	6999.0	itau	silewconsulting	1
26232	986744716548018176	itau	2018-04-18 23:14:07	loka	"eu nao consigo pensar em mais nada positivo to so 

itau quer dinheiro vai da o cu"	0.0	9.0		1570.0	682.0	itau		0
26236	986744357536632834	itau	2018-04-18 23:12:42	Luiz	Todo mês eu cancelo essa porra de adiantamento depositante, e todo mês o Itaú me desconta isso, e eu nunca nem pedi pra ter essa porra. Vou jogar logo na justiça	0.0	2.0		758.0	403.0	itau		0
26237	986744207300849666	itau	2018-04-18 23:12:06	Diego Ramos Machado	O Banco Santander (BANESPA) deve R$ 2,9 bilhões à Prefeitura de São Paulo. A UNIMED, R$ 1,8 bi. O Itaú, R$ 1 bi. O Banco do Brasil, a SABESP, o Sírio-Libanês, o Albert-Einstein, a FAAP (...) devem milhões de... https://t.co/wDBH7GXMD5	0.0	0.0		245.0	188.0	itau		0
26239	986744181971398657	itau	2018-04-18 23:12:00	loka	alguem pelo amor de deus me da uma ideia de slogan pro Itaú pode ser qualquer coisa eu preciso escrever uns 70 slogans só foi 26	0.0	0.0		1570.0	682.0	itau		0
26241	986744057396330498	itau	2018-04-18 23:11:30	Adinael Gadelha™	"@Glauber_Braga parece não... é.

Desde as eleições passadas que o mercado aposta nela, prova disso é o seu plano de governo ter sido escrito pelo itau e seu apoio total a ""independência"" do BACEN."	0.0	0.0		244.0	406.0	itau	glauber_braga	1
26242	986743999082958848	itau	2018-04-18 23:11:16	mari juana	dps do Itaú sempre https://t.co/B4tKukaXN6	0.0	0.0		1819.0	1064.0	itau		0
26243	986743938416545792	itau	2018-04-18 23:11:02	pborgesmorais	@governodobrasil @ReceitaFederal Mas a Globosta e o Banco Itaú estão fora. E os 8 Bi que os Marinhos sonegou?	0.0	0.0		2320.0	1982.0	itau	governodobrasil receitafederal	2
26244	986743650393776128	itau	2018-04-18 23:09:53	insta: djricardorocharj	"dia 26 de maio o pau de quebra da melhor forma!!!! 

?: Open bar (+drinks a venda) 

?: 0800 a festa toda 

?: $20,00 (antecipado) 

?: 15:00H

?: Ao lado do itaú (cetro do Gramacho, Duque de Caxias) https://t.co/qgRmbJrabC"	9.0	10.0		1261.0	523.0	itau		0
26245	986743508970164224	itau	2018-04-18 23:09:20	honey ?	um vício chamado a música da propaganda do Itaú	0.0	1.0		198.0	218.0	itau		0
26246	986743504784289795	itau	2018-04-18 23:09:19	?Paulinha?	Me sinto mto representada nesse comercial do Apple pay do itau pq não tem uma fucking pessoa bonita nele	0.0	0.0		235.0	72.0	itau		0
26247	986743332339617792	itau	2018-04-18 23:08:37	Rod	Se tem alguma coisa brasileira que resume bem aquele meme do soy são os atores dessa propaganda do Itaú com o apple pay	0.0	0.0		944.0	556.0	itau		0
26251	986743113019469824	itau	2018-04-18 23:07:45	Luiz C. Eudes Corrêa	@x86girl @itau Nunca recebi ligação do itaú no qual sou correntista (só aparece um banner quando acesso minha conta), mas o maldito @santander_br não para de me ligar e nem conta lá eu tenho.	0.0	0.0		787.0	2204.0	itau	x86girl itau santander_br	3
26253	986742604174905344	itau	2018-04-18 23:05:44	Bluherporta	Se alguém coincidentemente estiver passeando pela Augusta em frente ao Espaço Itaú de Cinema e olhar para o outro lado da rua neste momento, estarei lá comendo tacos na vitrine	0.0	3.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	2923.0	530.0	itau		0
26254	986742502710501382	itau	2018-04-18 23:05:20	Elza	RT @RondinellySena: 'Temer é insignificante, o domínio é do sistema financeiro, do Itaú, do Bradesco', diz Requião - Sul 21 https://t.co/4P…	1.0	0.0		28271.0	25314.0	itau	rondinellysena	1
26255	986742412260401152	itau	2018-04-18 23:04:58	Gustavo	Eu não quero cartão de crédito, banco Itaú, quero um de débito..  querem e me deixar cheio de dúvidas..	0.0	0.0		454.0	383.0	itau		0
26257	986742110471716866	itau	2018-04-18 23:03:46	Amaiti Oliveira	Itaú me liga oferecendo lis (limite cheque especial) e eu tentando explicar que não sei lidar com isso!	0.0	0.0		140.0	172.0	itau		0
26258	986742086446862337	itau	2018-04-18 23:03:40	Xisto	Hoje pela primeira vez eu usei a bike do @itau e cara, é muito bom ter essa mobilidade.. que ideia genial! (Sei que tem anos q já existe mas fodas eu só usei agora e amei)	0.0	0.0		239.0	289.0	itau	itau	1
26261	986741252409393153	itau	2018-04-18 23:00:21	Connekt	"O maior banco privado do Brasil abriu 3 novas vagas para Analista de Operações de Telecom TI (Pleno) em Mogi Mirim/SP. Venha trabalhar no Itaú Unibanco!

Acesse: https://t.co/9Aevn6NqBF https://t.co/qLSsSpW70V"	0.0	0.0		3.0	31.0	itau		0
26262	986741036247633922	itau	2018-04-18 22:59:30	Reginaldo Rodrigues	@itau não consigo cadastrar meu Itaúcard no Apple Pay, pede pra entrar em contato com a operadora do cartão, ajuda aí @itau.	0.0	0.0		77.0	142.0	itau	itau itau	2
26264	986740950469836801	itau	2018-04-18 22:59:10	Rogério	"@itau Falha do sistema de vcs , depósito que não caiu na conta ,não pode aparecer no App como saldo disponível.
Vendi um produto e fui lesado pela falha do sistema que diz que tem dinheiro."	0.0	0.0		16.0	101.0	itau	itau	1
26265	986740949891141632	itau	2018-04-18 22:59:09	Anna kelly	@maysa057 @itau É assim Maysa?  Ok	0.0	0.0		1116.0	825.0	itau	maysa057 itau	2
